Date,ADVANC.BK,AEONTS.BK,AH.BK,AMATA.BK,AOT.BK,AP.BK,BANPU.BK,BBL.BK,BCH.BK,BCP.BK,BDMS.BK,BEM.BK,BGRIM.BK,BH.BK,BJC.BK,BLA.BK,BTS.BK,CBG.BK,CENTEL.BK,CHG.BK,CK.BK,COM7.BK,CPALL.BK,CPAXT.BK,CPF.BK,CRC.BK,DELTA.BK,DOHOME.BK,EA.BK,EGCO.BK,ERW.BK,GFPT.BK,GLOBAL.BK,GPSC.BK,GULF.BK,HANA.BK,HMPRO.BK,IRPC.BK,ITC.BK,IVL.BK,KBANK.BK,KCE.BK,KKP.BK,KTB.BK,KTC.BK,LH.BK,MINT.BK,MTC.BK,NER.BK,OR.BK,ORI.BK,OSP.BK,PR9.BK,PSH.BK,PTT.BK,PTTEP.BK,PTTGC.BK,QH.BK,RATCH.BK,SAT.BK,SAWAD.BK,SCB.BK,SCC.BK,SCCC.BK,SCGP.BK,SIRI.BK,SPALI.BK,SPRC.BK,TASCO.BK,TIDLOR.BK,TISCO.BK,TOP.BK,TPIPL.BK,TRUE.BK,TTB.BK,TU.BK,TVO.BK,WHA.BK,^SET.BK
2021-08-09,4459300,908700,3224200,4452300,29428300,13079500,172497691.0,10461600,24329200,4807800,14428400,18212000,9620500,643200,2222700,5872400,41340100,4870100,8647500,92277300,7877900,22921000,10028700,,18020000,11342700,39003000,6644765,10675500,1386500,21225100,6920800,11970118,24521700,,4288900,30301400,79375400,,15363000,20844700,13360500,2760400,23484600,7283100,15244000,11612700,3487800,59450100,19133100,8441400,4531900,320900,784600,51686900,5180400,11176600,8761900,2207570,1885400,6467087,,880500,169600,11699200,76986000,6444200,54696500,4871400,,3042900,7648683,2543400,46519000,221922200,52523500,1538680,20152100,7281900.0
2021-08-10,14385300,494000,3085500,4315800,17783300,4591300,52620677.0,8392900,26286000,2463400,17057500,45489500,11578300,2147500,3116800,2165800,30655100,4417500,5842900,94791000,10888300,18086200,11794400,,62555200,21183800,13920000,6088428,10145700,1679100,9610400,17218600,15220309,15571100,,10170000,32889100,174498300,,34403600,18934300,10278000,1399600,20171900,9073900,17834500,5639300,10814900,28878500,12317800,4547000,8579300,634400,835400,79799300,6720900,42583500,8695800,6209285,2070200,11173140,,1571100,117600,14868400,178487400,5490700,31797500,16090400,,1914000,11260252,8239200,39687700,93311400,71964400,2609860,29435700,9092600.0
2021-08-11,22428000,434100,3649600,3039500,20853100,21162000,104057508.0,8794300,22976000,3974400,29650300,23693700,10577000,3086500,10100000,9960100,35857500,3099500,5064400,82205700,6520000,25076200,20772100,,38137500,8854500,11291000,7927525,9321000,1269400,11979600,8594600,19571873,9739700,,7328000,24030700,117261600,,22487300,22060500,34618700,1891500,19166300,17038000,36368300,9149400,26292300,25274900,11527000,22896500,7797800,9038900,2313800,81840800,7323400,18406900,32134700,6703347,7690800,26779478,,2388300,116600,13592400,87074700,6095700,22458000,5541900,,1908600,9686282,5145800,76615400,144862800,32798800,637230,26032700,9601600.0
2021-08-13,7590200,335800,8665700,1957900,29371300,15376600,211060568.0,8210500,44299800,4944600,25845600,45069300,7153500,3476300,3557000,3683800,48258100,3223500,1849700,106076900,5270000,22072400,20972400,,25832200,9337000,6758000,6850878,4500000,1718600,7754700,10372300,28849610,9414500,,11777100,6846000,341880700,,14168600,21311500,18031800,811900,29011700,17384900,21301300,7726700,15697000,26227100,13875500,17253100,11665000,1156300,858900,74494100,5112600,20623600,13001900,7410922,2331200,9325954,,1328100,101300,18326500,71928600,5867400,12799800,23581800,,1875500,9621069,5417700,30179000,115406500,33251500,2374460,30980200,9130300.0
2021-08-16,6054600,811500,1770000,8636600,25221900,26096800,349572800.0,7992900,25097800,3748200,32348700,19039000,14589800,1480700,2702600,2964600,25055300,21541400,3633500,147906600,3880400,15360200,25593100,,33391400,14622800,8574000,5246940,7677700,1755300,7028300,10824900,12165510,7093900,,8002000,13169600,297395800,,16951800,12115600,14222600,2875700,18560000,7638700,40466900,21494700,8003900,43207100,18170700,20112700,12714700,555000,1111700,45881900,5211700,12470800,8874300,11607908,2325300,10445567,,2801800,125100,14587000,158479700,3308900,30602700,13341600,,2086600,8378392,29487900,52940300,213478700,29093500,22671220,25044900,7756900.0
2021-08-17,6880900,414900,2265200,8079800,21982000,16130000,150235100.0,10077700,86328400,1732200,31307400,28431700,10896700,2358900,5406500,2439900,42637300,6850200,5180700,207279900,8658600,12360200,23914200,,18702000,16760700,11919000,26586045,11181200,1032000,16771600,4634500,19074325,12681500,,17327900,27595900,201115700,,39055600,22590000,36439000,2572700,35521400,6327700,29772200,15449500,5934900,32062700,27542600,15485700,10318400,666900,1407800,112879000,7208000,21867600,23310700,7290672,2249300,9481560,,2885900,72200,18745500,267268200,11746500,12617600,7954800,,4178000,11260151,13391900,50424300,297934300,24331300,15813600,45266400,6373500.0
2021-08-18,4285800,1900600,7135400,15860700,30305100,15654100,118368500.0,4723400,96160900,3428500,31501300,117754800,5321500,1371000,7184800,1707900,51115500,6071400,6097000,162092400,16251700,37051400,22667400,,14420200,30954500,12911000,13878545,7849700,660200,19816900,3494800,15527213,8171100,,7533200,34758300,112177700,,22094800,14668800,25768500,2080300,18226400,16243400,63081500,33054200,31639600,19149700,29652500,6630700,7231000,1289700,594100,83022700,4993800,13552200,14895000,6595942,5360700,28946951,,3356200,133600,7490400,266387000,2959600,17227800,45447100,,1887800,11511661,20234200,21570800,163038200,52171700,9149140,121207600,7470100.0
2021-08-19,3908400,812700,1905600,4816600,13431800,4505800,57697300.0,6989000,59840400,4218500,28173300,76155000,8637800,993000,4137000,940400,47551600,11448700,3449300,125079800,6904900,16262400,12316300,,29230400,19249100,7967000,18609784,7672900,974400,35880800,2040800,6680676,14464100,,32687200,12335600,104573100,,27602100,20605800,21843000,1589600,15134600,12925500,49373000,24012900,10620200,30512400,16723900,5516900,9266000,1100000,333100,47716600,8343800,31314900,12530700,3160288,4354300,11787336,,2337800,126000,9490700,61347500,1621400,12291300,33082900,,2441000,18408529,8288900,40747100,89673900,73483500,5592400,36426200,8691500.0
2021-08-20,9840600,454200,2968900,22051600,34043000,7388100,50184100.0,11493900,37980500,3515600,24215100,57982600,10985000,1399100,3979300,1318000,47983100,6876500,2298800,99423500,4725300,8893200,15866700,,29461800,32593800,8457000,15229589,6070100,1080300,15925900,2664300,9504049,8112100,,8969700,38601100,118027300,,21447800,20241200,8730000,3993700,22263900,10718700,26481100,12681300,8613900,25209800,48830100,4330600,5105100,875300,598000,56414400,9366100,79051500,26627100,3529458,5434100,14239643,,1846500,198800,8392500,76766500,6347200,13908600,30569100,,7807600,21220954,7198000,99352900,334576000,28994500,3360060,53370900,9187300.0
2021-08-23,10197200,2713900,2789800,18224400,41857400,9989400,57335700.0,39095300,62887300,7726800,33849700,114477200,4913300,2801100,11428500,952800,66238300,6402300,5768200,227363400,13511400,19096000,63609700,,39078000,32098100,9927000,16458027,9980200,1615200,33741100,4918600,28713262,24226600,,24720200,38296700,94760800,,15167700,72051700,19586300,9851600,81930600,29950000,49894700,22742200,17555100,20385900,41690400,10193700,11112100,2901100,1174400,87545600,11986400,28488000,17989800,7619363,3591500,23864951,,3808400,243300,14077800,353610600,6367600,26072000,17743800,,8280500,13682099,29269600,103615200,870846700,60990300,6325880,121471400,10366800.0
